objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,composers,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
comp001,Gastón _Arce_Sejas.jpeg,,Gastón Arce Sejas,image/jpeg,"Composer, conductor, and researcher Acre was born in December 1964 in La Paz, Bolivia. He studied musical composition with Mariano Etkin and Gabriel Valverde and orchestral conducting with Guillermo Scarabino and Mario Benzecry at the Department of the Arts at La Plata University (UNLP) in Buenos Aires, Argentina. In 2000, Acre founded the bachelor's degree in music at Loyola University of Bolivia in La Paz, where he served as the music department head and instructor. While at Loyola University, Acre spearheaded the development of a bachelor's of music degree in traditional orchestral instruments; established the Ensemble PRETA, which combines traditional Bolivian musical instruments with digital technologies; and the Loyola Sinfonietta. In addition, Acre has established various musical ensembles such as the Ensemble Contemporáneo TAKY, which exclusively plays contemporary Bolivian and Latin American classical music, and co-founded the Curucusí Ensemble with soprano Giovanna Montaño.                                                                                                                                                       During his extensive career, Acre has taught at the Major University of San Andrés, the El Alto Public University, and the Tomás Frías de Potosí University. Between 2012 and 2016, he was the Municipal de El Alto Symphony Orchestra at the Municipal School of Arts (EMDA) director. His more than 70 compositions are performed frequently inside and outside of Bolivia. In October 2016, he received the ""Orlando Alandia Pantoja National Composition Award."" In 2017, the Venezuelan Symphony Orchestra premiered Gritos de Cóndor (Cries of a Condor), an honorable mention from the same contest from 2012. In 2017, Acre released his sell-out hit Los Avatares de la Música Contemporánea en Bolivia (The Avatars of Contemporary Music in Bolivia), which examines the history of contemporary Bolivian music in the last decade and its leading figures. The book's success has prompted Acre to begin writing a second edition.",n/a,,1964,,,Gastón Arce Sejas,"La Paz, Bolivia",-16.489689,-68.119293,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,
comp002,FERNANDO_ARDUZ.jpeg,,Fernando Arduz,image/jpeg,Biography coming soon!,n/a,,1958,,,Fernando Arduz,"Tarija, Bolivia",-21.521383,-64.728096,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,
comp003,CHRISTIAN_ORLANDO_ASTURIZAGA.jpeg,,Christian Orlando Asturizaga,image/jpeg,Biography coming soon!,n/a,,1979,,,Christian Orlando Asturizaga,"La Paz, Bolivia",-16.489689,-68.119293,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,
comp004,ATILIANO_AUZA_LEÓN.jpeg,,Atiliano Auza León,image/jpeg,"Born in the historic city of Sucre, Bolivia, in 1928, composer, violinist, and musicologist Auza Leon began his musical studies at the Academy of Music of the Philharmonic Society of Sucre at 18 in 1946. He transferred a year later (1947) to the Higher Teacher Training School of Sucre (1947-1951). In 1953, Auza Leon studied composition at the National Conservatory of Music in La Paz with exiled Jewish German maestro Eric Eisner, the founder and first director of the National Symphony Orchestra of Bolivia. In 1965, he studied at the Latin American Center for Higher Musical Studies (CLAEM), a program developed in partnership with the Torcuato Di Tella Institute and the Rockefeller Foundation in Buenos Aires, Argentina, under the direction of the Argentine composer Alberto Ginastera. Upon his return to Bolivia in the 1970s, Auza Leon taught at various institutions, including the Simón Bolívar Higher Teacher Training School of Music in La Paz, where he directed the choir, and at the National Conservatory of Music of La Paz, where he taught composition.                                                                                                                                                            Throughout his lifetime Auza Leon has written numerous compositions for violin, choir, and orchestra, including ""Ramillete Sonoro"" (1958) in three volumes, a collection of Bolivian songs for children; ""Sies danzas Bolivianas del Ciclo 'Runas'"" (Six Bolivian dances of the ""Runas"" cycle) (1960) which features popular songs ""El panuelo"" and ""A la cueca""; the piano sonatas ""Anfiblástula"" (1965) and ""Los Chunchos"" (1979); and ""La Cantata Oda a Moto Méndez"" (1984) an ode to Bolivian freedom fighter Eustaquio ""Moto"" Méndez. Most notably, he wrote the music for the first Bolivian Opera, ""Incallajta"" (1980), which narrates the impossible love story between an Incan princess and a warrior. His latest compositions, ""Melodías Nacionales para Piano"" (National Melodies for Piano)(1999); ""Danzas Bolivianas para Violín y Piano"" (Ciclo Runas 2°) (Bolivian Dances for Violin and Piano (Runas 2° Cycle)) (2000); and ""Sinfonía Boliviana"" (Bolivian Symphony)(2006) in four movements demonstrate his dedication to Bolivian music. In addition to his musical work, Auza Leon has written several Bolivian music history books and published articles in the National Press. His most important works include Dinámica Musical en Bolivia (Musical Dynamics in Bolivia) (1967), Musica Contemporanea (Contemporary Music) (1976), and Historia de la Música Boliviana (History of Bolivian Music) (1985), which three sold-out editions.",n/a,,1928,,,Atiliano Auza León,"Sucre, Bolivia",-19.019585,-65.261963,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,
comp005,MARTHA_PATRICIA_BEDREGAL_VELASCO.jpeg,,Martha Patricia Bedregal Velasco,image/jpeg,"Patricia Bedregal Velasco was born in La Paz in 1972. When she was four years old, she started taking piano lessons, and when she was nine, she began to study music at the National Conservatory of Bolivia. In 1990, at 18, Velasco decided to pursue a degree in architecture and, after graduation, worked in this field. Eight years later, in 1998, she returned to her music studies with her mentors, Maestro Javier Parrado and Maestra Mariana Alandia. In 2006, she began to pursue a bachelor’s degree in composition at the Loyola University of Bolivia in La Paz with Gastón Arce. Her return to music led Velasco to perform with the National Symphony Orchestra, Bolivian Choral Society, and the Philarmonic de La Paz from 2001 to 2017. She also participated in projects such as the “Trio ‘Abismos’” a horn, piano, and cello ensemble as a pianist and composer, and the fusion project “Mústika.” Between 1990 and 2013, Velasco taught at the National Music Conservatory in La Paz, where she was appointed academic director.                                                                                           Velasco's composition premiered at the Contemporary Music Journey in Cochabamba in 2006. In 2014, “Stockholm Saxophone Quartet,” a Swedish saxophone quartet dedicated to playing contemporary music, commissioned a composition from her to add to their repertoire. The song she composed was performed in various concerts in North Europe and Africa. In 2020, the quartet requested a new composition for a children’s choir and saxophone quartet, entitled “Pachamama,” which premiered in April 2021 in Sweden. In addition to being a composer, Velasco is also a prolific music arranger. She arranged the artist and author of Sonia Rolón album “Voy Yo Misma a Desnudarte” (“I'm Going to Undress You Myself”) in 2011. She made orchestral arrangements for the Chilean Andean group Altiplano in 2012. She was the official arranger for the symphonic tribute projects for Pink Floyd (2013), Beatles (2014), and ABBA (2015) with Deuce Producciones.                                                                                                                                      Velasco's trajectory as an arranger led her to work with the Colombian electronic experimental musical group Ambivalencias in 2014, with the Bolivian rock metal group Armadura and the National Symphony Orchestra. She also worked on the translation and arrangements for the Soda Stereo Unplugged along with the group Ruido Blanco in 2015. She arranged pieces for “Sinfomore:” a symphonic homage to Argentian rock music, held by the Youth Symphony Orchestra of the Plurinational Conservatory of Music in Argentina. She also arranged for a string quartet for the Bolivian rock band Ciudad Líquida for the album “Frecuencias Fantasma” in 2016. Velasco also made symphonic arrangements for the “Festijazz,” for maestro Gilberto Rojas's work in 2016, for the “Homenaje a la Mujer” (Homage to Women) in 2017, and arranged for and produced the concert “Sangre y Sueños” (Blood and Dreams) a tribute to Bolivian author and singer Marcelo Urioste. She also made symphonic arrangements for Manuel Monroy Chazarreta’s “Papirri Sinfónico” Concert in 2018 and symphonic arrangements for Adrian Barrenechea´s music for “Un Concierto Muy Sui Generis,” along with Nito Mestre in 2018.                                                                                                                                             In 2020, she made an orchestral arrangement version of the song “De Regreso Agradezco a la Vida” (On the way back, I thank life) based on the cueca “De Regreso” (On the way back) from Bolivian composer Matilde Casazola and “Gracias a la Vida” (Thank to life) from Chilean composer Violeta Parra. These arrangements were performed virtually by the Bolivian Female Orchestra and the Female Orchestra of Chile on October 3rd of the same year. She is currently dedicating her time to teaching and composing.",n/a,,1972,,,Martha Patricia Bedregal Velasco,"La Paz, Bolivia",-16.489689,-68.119293,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,
comp006,Lluvia_Bustos_Soria.jpeg,,Lluvia Bustos Soria,image/jpeg,"Composer Bustos Soria was born in La Paz, Bolivia in 1978. She received a bachelor's degree in music arts from the Bolivian Catholic University, a Master of Arts in musical composition, theory of cinema and film, television and audiovisual media music from Beijing Film Academy (BFA), and a degree in electrical engineering from the Universidad Mayor de San Andrés (UMSA) in La Paz.                                                                                                                              Bustos Soria has worked on commissions for the Orquesta Experimental de Instrumentos Nativos (Experimental Native Instruments Orchestra)(OEIN). This orchestra incorporates the sounds of traditional instruments from the Bolivian Andes to contemporary classical music. She has also worked with the Cultural Center Simon I. Patiño and for the PRO ESCENA Music Festival of the Cultural Center of Spain in La Paz, Bolivia. In Beijing, Bustos Soria worked on the soundtrack of various short films selected to represent the Beijing Youth Studio at international film festivals. In January 2009, she worked on the soundtrack of “Munian De Kunhuo” (complex and baffling old age), produced in partnership with the Beijing Drama Academy and the Institute of Mental Health in Beijing. Bustos Soria also did the audio post-production of the documentary “El Corral Y El Viento” (The Corral And The Wind) (2014) by Miguel Hilari. Her compositions have been played in different countries at contemporary music festivals and sound art festivals.                                                                    In addition to her work as a composer, Bustos Soria also heads different projects with the Museo Nacional de Etnografía y Folklore (National Museum of Ethnography and Folklore) (MUSEF) archive, including cataloging, preserving, and recovery of film material and digitizing and editing of analog cassettes from the Sound Documents Fund. She also heads a project that is working on adding audio descriptions and close captioning to Bolivian films, the project “El Color de la Imaginación” (The Color of Imagination) audio stories for children volumes one and two. She has partnered with Sonido Con Alta Techonlogia (SCAT), an audio and audiovisual production company, to develop the “Mapa sonoro del municipio de La Paz” (Sound map of the municipal of La Paz”) project. Bustos Soria has also produced and organized the First Bolivian Tiflo-cinema Mini-festival, “Francesco Díaz Mariscal,” in 2014.",n/a,,1978,,,Lluvia Bustos Soria,"La Paz, Bolivia",-16.489689,-68.119293,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,
comp007,MIGUEL_CERRUTO.jpeg,,Miguel Cerruto,image/jpeg,Biography coming soon!,n/a,,1948,,,Miguel Cerruto,"La Paz, Bolivia",-16.489689,-68.119293,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,
comp008,OLDRICH_ HALAS.jpeg,,Oldrich Halas,image/jpeg,Biography coming soon!,n/a,,1967,,,Oldrich Halas,"Potosi, Bolivia",-20.266562,-67.620552,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,
comp009,JORGE_ANDRES_IBÁÑEZ.jpeg,,Jorge Andres Ibáñez,image/jpeg,"Jorge Ibáñez's music is characterized by its lyricism, clarity of form, refinement, spontaneity, and use of resonance and instrumentation. Born in La Paz, Bolivia, Ibáñez began his musical studies under the guidance of his parents, both distinguished Bolivian musicians. He graduated from the National Conservatory of Music in La Paz in 1983 and taught piano at the conservatory for three years after graduating. Ibáñez holds a Graduate Diploma in Piano from the Longy School of Music, a Bachelor of Music in Composition from the New England Conservatory of Music, and a Master of Music in Composition from Carnegie Mellon University. His primary teachers in composition have been Lukas Foss, Theodore Antoniou, Leonardo Balada, John McDonald, Malcolm Peyton, and Robert Kyr. He has also received piano lessons from Sally Pinkas, Gustavo Navarre, and Alicia de Justiniano.                                                                                   Ibáñez is a winner of several composition awards. He won second prize at the Simon Bolivar Composition Contest in 1983, the second prize Winner at the Humberto Viscarra Monje Piano Competition in 1985, an Honorable Mention at the Carnegie Mellon University Composition Contest in 1995, and won the third prize in the Teresa Rivera de Stahlie National Composition Contest in 1998. He frequently performs in concerts in South America and the United States as a member of Duo Ibáñez with his brother Luis Antonio Ibáñez, a violin and piano duo, and with Ritmos 3 (Rhythm 3), a violin, piano, and percussion trio. He also serves as the instrumentalist, composer, and member of the choral group Triad: Boston's Choral Collective. He recorded the album “In Memoriam” in 2014, a compilation that includes violin and piano compositions from Bolivian composers Antonio Ibáñez Rodriguez and Gustavo Navarre Viscarra and his works with Duo Ibáñez. In addition to his work as a composer, director, and musician, Ibáñez has taught music at the New World School for the Arts and Broward College in Miami, Florida. He currently teaches at Winchester Community Music School and Roxbury Community College. Ibáñez lives in Boston with his wife, Deborah, daughter Katarina, and son Mateo.",n/a,,1960,,,Jorge Andres Ibáñez,"La Paz, Bolivia",-16.489689,-68.119293,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,
comp010,,kh8ArmJIVdY,Luis Moya Salguero,image/jpeg,Biography coming soon!,n/a,,1966,,,Luis Moya Salguero,"Cochabamba, Bolivia",-17.413977,-66.165321,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,
